cod_mun_completo,cod_mun_ibge,nome_mun,cadunico_tot_pes,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_pes_pob,cadunico_tot_pes_ext_pob,cadunico_tot_pes_pob_e_ext_pob,cadunico_tot_fam,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_fam_ext_pob,cadunico_tot_fam_pob_e_ext_pob,mes,ano
3300100,330010,Angra dos Reis,56818.0,50003.0,7454.0,30873.0,38327.0,21112,17082.0,2377.0,10762.0,13139.0,05,2020
3300100,330010,Angra dos Reis,56570.0,49790.0,7486.0,30709.0,38195.0,21001,16992.0,2383.0,10697.0,13080.0,04,2020
3300100,330010,Angra dos Reis,56388.0,49667.0,7505.0,30642.0,38147.0,20910,16936.0,2383.0,10664.0,13047.0,03,2020
3300100,330010,Angra dos Reis,55789.0,49242.0,7497.0,30370.0,37867.0,20637,16750.0,2382.0,10547.0,12929.0,02,2020
3300100,330010,Angra dos Reis,57978.0,50984.0,7916.0,30615.0,38531.0,21476,17375.0,2533.0,10658.0,13191.0,01,2020
3300100,330010,Angra dos Reis,66705.0,59488.0,6742.0,40295.0,47037.0,26882,22389.0,2290.0,15752.0,18042.0,12,2021
3300100,330010,Angra dos Reis,66159.0,59000.0,6748.0,39841.0,46589.0,26527,22077.0,2281.0,15472.0,17753.0,11,2021
3300100,330010,Angra dos Reis,65309.0,58223.0,6760.0,39148.0,45908.0,26015,21639.0,2274.0,15083.0,17357.0,10,2021
3300100,330010,Angra dos Reis,64712.0,57714.0,6736.0,38759.0,45495.0,25666,21346.0,2257.0,14849.0,17106.0,09,2021
3300100,330010,Angra dos Reis,64171.0,57251.0,6708.0,38359.0,45067.0,25326,21067.0,2243.0,14601.0,16844.0,08,2021
3300100,330010,Angra dos Reis,63589.0,56744.0,6788.0,37815.0,44603.0,24981,20760.0,2258.0,14304.0,16562.0,07,2021
3300100,330010,Angra dos Reis,62765.0,56047.0,6812.0,37117.0,43929.0,24494,20354.0,2250.0,13927.0,16177.0,06,2021
3300100,330010,Angra dos Reis,62352.0,55698.0,6841.0,36751.0,43592.0,24263,20165.0,2254.0,13742.0,15996.0,05,2021
3300100,330010,Angra dos Reis,61847.0,55232.0,6888.0,36265.0,43153.0,23956,19893.0,2261.0,13477.0,15738.0,04,2021
3300100,330010,Angra dos Reis,61237.0,54668.0,6950.0,35678.0,42628.0,23645,19615.0,2272.0,13203.0,15475.0,03,2021
3300100,330010,Angra dos Reis,60678.0,54187.0,7094.0,35099.0,42193.0,23343,19355.0,2308.0,12929.0,15237.0,02,2021
3300100,330010,Angra dos Reis,60035.0,53622.0,7136.0,34428.0,41564.0,23007,19063.0,2313.0,12623.0,14936.0,01,2021
3300100,330010,Angra dos Reis,81052.0,71719.0,6325.0,50955.0,57280.0,36767,30784.0,2344.0,23040.0,25384.0,12,2022
3300100,330010,Angra dos Reis,80275.0,71127.0,6324.0,50604.0,56928.0,36215,30342.0,2334.0,22715.0,25049.0,11,2022
3300100,330010,Angra dos Reis,79230.0,70359.0,6294.0,50163.0,56457.0,35453,29750.0,2298.0,22302.0,24600.0,10,2022
3300100,330010,Angra dos Reis,77210.0,68703.0,6085.0,49137.0,55222.0,34019,28569.0,2202.0,21418.0,23620.0,09,2022
3300100,330010,Angra dos Reis,75609.0,67406.0,6071.0,48041.0,54112.0,32851,27591.0,2162.0,20587.0,22749.0,08,2022
3300100,330010,Angra dos Reis,74357.0,66388.0,6048.0,47182.0,53230.0,31944,26827.0,2121.0,19931.0,22052.0,07,2022
3300100,330010,Angra dos Reis,73109.0,65453.0,6111.0,46387.0,52498.0,31114,26184.0,2117.0,19386.0,21503.0,06,2022
3300100,330010,Angra dos Reis,72008.0,64613.0,6118.0,45774.0,51892.0,30375,25607.0,2107.0,18921.0,21028.0,05,2022
3300100,330010,Angra dos Reis,71072.0,63928.0,6128.0,45514.0,51642.0,29723,25121.0,2089.0,18612.0,20701.0,04,2022
3300100,330010,Angra dos Reis,69679.0,62840.0,6178.0,44658.0,50836.0,28795,24370.0,2079.0,17988.0,20067.0,03,2022
3300100,330010,Angra dos Reis,68886.0,62170.0,6105.0,44127.0,50232.0,28267,23927.0,2045.0,17604.0,19649.0,02,2022
3300100,330010,Angra dos Reis,67624.0,61052.0,6153.0,43045.0,49198.0,27421,23178.0,2039.0,16919.0,18958.0,01,2022
3300159,330015,Aperibé,5440.0,4980.0,1990.0,1476.0,3466.0,1857,1630.0,588.0,504.0,1092.0,12,2012
3300159,330015,Aperibé,5417.0,4960.0,1986.0,1471.0,3457.0,1848,1622.0,586.0,502.0,1088.0,11,2012
3300159,330015,Aperibé,5421.0,4960.0,2002.0,1457.0,3459.0,1850,1622.0,591.0,498.0,1089.0,10,2012
3300159,330015,Aperibé,5400.0,4939.0,2016.0,1427.0,3443.0,1842,1614.0,595.0,487.0,1082.0,09,2012
3300159,330015,Aperibé,5354.0,4909.0,2033.0,1396.0,3429.0,1826,1605.0,599.0,479.0,1078.0,08,2012
3300159,330015,Aperibé,5345.0,4909.0,2029.0,1396.0,3425.0,1819,1601.0,597.0,477.0,1074.0,07,2012
3300159,330015,Aperibé,5013.0,4593.0,1915.0,1268.0,3183.0,1795,1579.0,599.0,464.0,1063.0,06,2012
3300159,330015,Aperibé,5246.0,4815.0,2038.0,1337.0,3375.0,1782,1567.0,601.0,455.0,1056.0,05,2012
3300159,330015,Aperibé,5246.0,4815.0,2038.0,1337.0,3375.0,1782,1567.0,601.0,455.0,1056.0,04,2012
3300159,330015,Aperibé,,,,,,1761,,,,,03,2012
3300159,330015,Aperibé,,,,,,1747,,,,,02,2012
3300159,330015,Aperibé,5613.0,5130.0,1707.0,1678.0,3385.0,1960,1716.0,512.0,588.0,1100.0,12,2013
3300159,330015,Aperibé,5608.0,5135.0,1753.0,1658.0,3411.0,1954,1714.0,524.0,580.0,1104.0,11,2013
3300159,330015,Aperibé,5580.0,5118.0,1784.0,1626.0,3410.0,1953,1716.0,536.0,573.0,1109.0,10,2013
3300159,330015,Aperibé,5565.0,5107.0,1800.0,1611.0,3411.0,1945,1710.0,539.0,567.0,1106.0,09,2013
3300159,330015,Aperibé,5520.0,5077.0,1790.0,1588.0,3378.0,1927,1699.0,535.0,562.0,1097.0,08,2013
3300159,330015,Aperibé,5514.0,5081.0,1824.0,1580.0,3404.0,1919,1697.0,544.0,557.0,1101.0,07,2013
3300159,330015,Aperibé,5501.0,5068.0,1868.0,1545.0,3413.0,1910,1688.0,556.0,543.0,1099.0,06,2013
3300159,330015,Aperibé,5451.0,5025.0,1894.0,1527.0,3421.0,1886,1667.0,564.0,533.0,1097.0,05,2013
3300159,330015,Aperibé,5462.0,5036.0,1891.0,1534.0,3425.0,1889,1670.0,562.0,534.0,1096.0,04,2013
3300159,330015,Aperibé,5464.0,5057.0,1961.0,1510.0,3471.0,1871,1660.0,577.0,521.0,1098.0,03,2013
3300159,330015,Aperibé,5459.0,5050.0,1967.0,1505.0,3472.0,1867,1656.0,582.0,515.0,1097.0,02,2013
3300159,330015,Aperibé,5454.0,5045.0,1979.0,1488.0,3467.0,1863,1652.0,585.0,509.0,1094.0,01,2013
3300159,330015,Aperibé,5730.0,5200.0,1510.0,1909.0,3419.0,2061,1780.0,461.0,679.0,1140.0,12,2014
3300159,330015,Aperibé,5728.0,5199.0,1508.0,1917.0,3425.0,2057,1777.0,460.0,678.0,1138.0,11,2014
3300159,330015,Aperibé,5709.0,5178.0,1508.0,1892.0,3400.0,2046,1765.0,459.0,669.0,1128.0,10,2014
3300159,330015,Aperibé,5694.0,5179.0,1509.0,1891.0,3400.0,2042,1767.0,460.0,668.0,1128.0,09,2014
3300159,330015,Aperibé,5688.0,5183.0,1529.0,1895.0,3424.0,2035,1766.0,465.0,669.0,1134.0,08,2014
3300159,330015,Aperibé,5686.0,5178.0,1546.0,1893.0,3439.0,2029,1760.0,471.0,665.0,1136.0,07,2014
3300159,330015,Aperibé,5639.0,5138.0,1538.0,1885.0,3423.0,2002,1738.0,469.0,655.0,1124.0,06,2014
3300159,330015,Aperibé,5617.0,5123.0,1537.0,1868.0,3405.0,1989,1729.0,467.0,647.0,1114.0,05,2014
3300159,330015,Aperibé,5601.0,5104.0,1497.0,1754.0,3251.0,1985,1724.0,450.0,616.0,1066.0,04,2014
3300159,330015,Aperibé,5610.0,5110.0,1523.0,1745.0,3268.0,1987,1725.0,457.0,612.0,1069.0,03,2014
